,pred
2024-06-01,37310.36981396256
2024-07-01,24957.88277704089
2024-08-01,28945.758082777007
2024-09-01,39249.87668833807
2024-10-01,30299.439836196987
2024-11-01,31327.45797228717
2024-12-01,42659.589274236256
2025-01-01,27018.194862163313
2025-02-01,31240.72649331725
2025-03-01,45235.23534672197
2025-04-01,31871.36348586611
2025-05-01,33038.604383485865
